user_id,favorite_song_1,favorite_song_2,favorite_song_3,favorite_song_4,favorite_song_5,favorite_song_6,favorite_song_7,favorite_song_8,favorite_song_9,favorite_song_10,favorite_song_11,favorite_song_12,favorite_song_13,favorite_song_14,favorite_song_15,favorite_song_16,favorite_song_17,favorite_song_18,favorite_song_19,favorite_song_20
17,429,1259,1273,1847,2059,2712,2762,2821,3128,3357,4581,4836,5086,5349,5432,5617,5921,5942,6033,6041
18,183,289,376,581,604,796,811,1262,1303,1468,1805,2277,2378,2393,2457,2614,2995,3567,3805,3862
19,3693,5974,7671,1357,2078,2133,6502,1956,1965,3356,3636,4036,5309,5946,7674,932,3081,3252,3275,4387
20,2097,2121,6137,7680,7143,1328,4313,7423,437,608,1423,1466,3235,3453,3572,5602,6086,6114,6671,7714
21,410,461,673,811,1043,1191,1194,1483,1532,1571,1962,2969,3315,3687,3746,3888,3980,4107,4272,4300
22,297,516,1686,2921,2953,3273,3466,4272,4320,6866,511,1043,3576,5898,6794,4970,5274,6868,635,2064
23,3235,3893,5974,6507,6835,7504,4272,37,120,410,802,851,1387,1743,1986,2236,2270,2284,2741,3568
24,2572,3219,3344,4218,5497,5823,2518,3517,4170,6587,2658,3644,4106,5283,5838,925,946,1009,1075,1144
25,730,1493,5508,330,451,1159,1852,3372,3466,4903,5163,5308,5730,6569,179,1440,1740,2359,2806,5749
26,556,777,5677,7510,4272,5122,5304,934,2290,4111,5780,734,1048,1665,2130,2200,2357,3110,3432,3712
27,649,944,2219,3288,3987,4192,4365,5093,6602,6745,543,1064,2313,3242,3936,4428,5078,5232,5522,6837
28,9,42,71,437,611,739,747,935,1362,1671,1751,1940,1956,2155,2274,3313,3339,3470,3474,3572
29,2207,3257,3561,4745,5462,689,1401,1648,1727,1758,1963,3426,3790,4364,4585,5281,5422,5495,5678,5708
30,12,116,356,843,875,925,1002,1188,1372,1978,2182,2590,3833,4784,4910,6142,6199,6231,6241,6641
31,6578,6768,1347,1385,1775,3427,4008,5239,7206,6412,1057,7452,1348,28,158,163,337,778,876,886
32,1918,2852,4539,187,372,521,604,635,638,670,740,794,866,878,988,1009,1046,1068,1110,1142
33,2133,2570,5716,36,38,116,152,219,243,252,385,406,411,429,436,437,509,511,550,624
34,248,595,1628,5141,5262,5677,7102,7561,4064,1592,1357,2503,3689,7529,7676,2950,3774,7527,966,2447
35,100,282,1331,1527,2064,3406,3805,3841,3888,3939,4038,4970,6727,7279,1009,2393,4272,6063,6841,6991
36,406,740,1007,1267,1673,1727,1853,1963,1989,2009,2378,2674,2801,3124,3493,3532,4156,4187,4391,4539
37,2742,2886,3567,7423,97,867,2030,2182,3624,3976,4133,5505,5597,6095,7594,79,3859,6256,7565,483
38,4926,216,3552,5817,5473,4107,4836,3235,404,4595,6242,7286,7484,900,6353,757,1940,4387,6350,6797
39,611,998,1207,1473,1594,1900,2393,3315,3389,3693,3975,4107,4334,4642,5608,6256,6350,6930,7389,7529
40,421,5398,7193,936,2740,7273,7577,7424,7651,2551,1672,2427,4538,6515,83,3478,4651,7115,1292,4150
41,88,874,950,1473,2122,2200,2852,4073,4835,6084,6420,6910,7546,7222,4314,6131,352,595,934,2026
42,1357,1532,5237,5753,6352,6958,7529,421,570,631,817,1007,1209,1454,1594,1739,1847,1956,2122,2133
43,1784,2796,4723,4737,5158,5162,7763,29,515,3514,3679,4111,4739,5376,5591,6711,7726,315,1973,2732
44,34,53,248,686,900,1142,1251,1594,1847,1965,2150,2518,3062,3183,3289,3339,3517,3567,3590,3698
45,312,6769,2317,3315,3975,410,950,243,650,741,747,1649,1943,2011,2679,3690,3866,4337,5513,5869
46,1263,1571,2725,3567,4564,6216,7106,2284,3980,4416,6307,6462,6535,6745,2808,3029,3642,3712,3975,3979
47,27,216,554,811,921,1043,1262,1333,1989,2317,3029,3280,3567,3766,3905,4022,4036,4539,4888,5012
48,372,410,874,950,1194,1200,1319,1333,1483,1571,1628,1847,1859,1962,2103,2290,2794,2818,3431,3698
49,5270,3866,5637,6825,7518,4732,7609,7761,2002,4038,2947,272,3178,1611,95,1454,3001,5281,6065,1209
50,163,436,1152,1182,3114,3453,3939,3956,6035,6041,6897,7549,4086,5962,4910,6231,2361,5563,7071,7504
51,1594,7493,4279,4195,5787,6187,604,4095,4147,5568,6953,6978,7208,7671,800,4300,6017,1473,5398,7066
52,9,27,42,71,113,174,243,263,270,287,289,292,321,343,364,367,437,521,526,604
53,5093,5590,6959,7040,2821,374,1422,1583,1747,1751,1874,1972,2860,2945,3070,3509,3807,3866,4621,4732
54,635,1009,1329,2290,5262,5473,5568,436,713,811,934,1064,1142,1347,1459,1557,1576,1580,1675,1766
55,12,53,186,237,289,339,512,570,631,690,829,830,878,913,946,1167,1172,1209,1347,1383
56,967,3493,4979,5000,5124,6379,1152,1920,2168,2842,3171,981,1001,1133,1507,1986,2313,2620,2779,2921
57,3486,4045,4314,4857,5328,5838,7279,7469,7604,141,461,1009,1483,1557,1816,2401,3888,4802,4970,5274
58,280,1648,3783,6511,2447,2940,4234,6419,7347,7356,83,3478,4651,7115,515,1160,3197,3993,7767,1299
59,3988,4931,7156,95,1067,6502,3315,4382,7197,142,1043,1628,1858,2608,3029,3093,4170,4478,5608,5654
60,1216,1785,2755,4721,591,696,901,1483,2117,2984,3331,5255,5660,6357,6832,123,237,570,622,683
61,740,757,801,1025,1211,1406,1847,3062,3184,3313,3489,3567,3878,3939,4043,4086,4736,5122,5478,5654
62,155,272,364,1611,2391,4314,6936,134,289,312,648,1039,1954,3269,5499,6679,7106,7182,9,903
63,1473,299,2290,5594,6658,1594,2150,2940,5036,5301,7402,7470,7493,4634,95,5398,7066,497,2433,3252
64,3114,7202,27,289,292,740,1007,1009,1292,1351,1357,1671,2040,2225,2274,3193,3860,3977,4054,4539
65,742,1087,1642,2144,2216,2847,3098,3910,3943,4250,4313,5445,5603,5806,5863,5880,6267,6368,7019,7307
66,117,264,331,566,842,884,1010,1087,1165,1182,1330,1596,1639,1716,1725,1783,2182,2184,2197,2362
67,183,554,581,595,2899,3030,5150,5398,5450,6204,6371,6600,747,3342,5175,6627,6911,608,753,1468
68,519,6542,689,5921,927,4361,1003,286,341,848,925,932,1247,1671,1956,2040,2056,2382,2443,2570
69,755,4482,5388,6279,6745,473,494,1130,1319,2683,4753,5238,6758,7726,1228,5262,6352,315,1333,4789
70,177,3609,5309,6413,7680,300,2118,2470,4581,635,1303,3356,4931,6209,7687,406,526,566,811,817
71,27,237,570,1473,1675,2122,2277,2852,3029,3641,3688,4824,4835,5084,5398,5479,5823,6063,6192,6244
72,1002,1026,1227,1528,1974,2441,2804,3022,3113,3171,3908,4260,4501,4551,4581,4736,4877,5192,5356,5573
73,1456,696,1847,2794,2891,3567,3878,3939,4022,5087,6350,6813,6832,2150,4382,7347,252,289,518,566
74,4539,5722,6813,6875,352,595,1117,1127,2290,3869,4161,5677,6194,6353,6831,7108,2794,3012,3819,4103
75,3805,4803,5052,282,2393,2457,3123,3319,3367,3486,4045,5662,6335,7279,7441,7542,123,265,523,1527
76,243,263,741,2984,3238,3339,4389,5635,5851,3880,4950,7469,2393,3688,4382,5244,5328,6420,7368,7106
77,578,579,2296,5702,2462,299,499,581,830,1009,1043,1557,1784,1805,1831,1916,1917,2534,2590,2797
78,1891,5472,1150,5237,5473,5856,7523,134,376,1430,1766,2041,3675,3746,4386,4478,5818,6098,6352,6364
79,1346,2653,2670,3339,5851,6557,742,925,935,1207,1303,1673,1935,2078,2117,2156,2570,2623,3054,3074
80,1006,2972,4566,1306,4536,4766,5086,6691,142,289,292,410,436,811,1022,1142,1383,1492,1581,1965
81,387,720,1459,2088,2714,3489,3536,3694,4350,4564,5356,5561,6405,6774,7061,216,1758,1768,2808,2976
82,134,1347,1576,1671,2296,2443,2815,3193,3373,3756,4821,5084,5177,5309,5590,5823,6694,6774,7424,7540
83,925,1810,1909,2110,2449,4328,5549,6602,6626,6715,6816,7006,7123,3462,3395,658,142,421,598,757
84,216,925,1057,1347,2182,2600,2741,2794,3120,3439,3675,4389,4595,4634,5237,5587,5635,6573,7017,7193
85,5654,7263,934,1127,1465,1557,1596,2290,2736,2740,2808,3462,3718,4024,4061,4868,5122,5522,5942,6063
86,759,1251,1736,2011,2385,2665,2762,2821,3485,3533,3879,4077,4452,5602,5869,1333,1989,2755,2794,3001
87,277,646,696,1345,1478,2009,2015,2078,2762,2768,3395,4036,4782,4791,5716,5970,7233,7611,270,289
88,1369,1847,2794,3878,5942,2739,5432,6267,6313,6637,837,2078,3452,5407,969,2923,4107,4918,5335,6057
89,4861,5675,6307,6944,143,5384,2448,1908,2801,3975,7163,4700,2483,4849,5591,319,435,5650,3084,7682
90,1594,7493,641,4003,5258,5350,6600,320,1383,1459,2123,2752,2794,3552,3746,4022,4129,5950,5962,5969
91,436,611,900,969,1004,1142,1306,1388,1454,1532,1594,1858,1977,2081,2652,2762,2804,2940,3331,3453
92,7172,1358,1477,3307,4199,6659,7001,7775,237,570,1751,3509,3866,4732,4922,6091,7368,7761,4656,5513
93,82,352,595,762,874,950,1312,1324,1532,2740,2995,3642,4022,4161,4197,4930,5087,5298,6080,7621
94,1771,2536,6086,591,635,2570,2607,2719,2721,2752,2773,3420,4043,4782,5288,5333,6597,7654,696,1847
95,554,1465,4061,1202,2540,3856,3974,4323,5818,6043,6645,6693,7540,2571,5498,6617,4782,5628,1900,4683
96,51,497,713,741,1453,1595,2117,2301,2396,3047,3177,3241,3275,3315,3374,3466,3534,3694,3746,3954
97,3342,4935,2855,257,7421,7692,340,344,658,1956,2182,2197,2443,2842,2891,3395,3420,4068,4086,4102
98,352,315,3718,2891,3939,5333,6813,7493,2035,2888,5009,5581,1333,2057,3973,5058,5466,1533,2683,3407
99,4272,243,700,741,811,935,1935,2652,2665,3356,3676,3690,6593,7611,1361,633,4951,6254,2127,2443
100,381,1473,2740,5262,6204,7193,811,835,6371,2758,5497,5608,3741,5398,4187,736,1720,6131,7261,4095
101,2421,5364,5625,30,88,143,241,324,399,504,738,981,1044,1045,1303,1576,1766,1891,1986,2170
102,6033,6674,216,648,742,774,903,1097,3370,3454,3909,4219,4361,5356,5424,6267,7204,7286,7334,7541
103,2427,4043,6832,4068,3888,866,4110,4389,5456,5865,5933,7143,7204,1557,2572,3805,6074,7193,7279,7396
104,1331,4272,5086,477,696,1976,3145,4441,7137,537,7335,7443,4100,4357,4766,6364,3454,1025,1155,1335
105,591,696,700,901,935,1345,1369,1419,1594,1615,1669,2150,2581,2799,2940,3321,3356,3693,3976,4100
106,135,3012,3356,4061,4300,5122,5388,5594,6194,6577,7017,7261,526,604,635,925,1009,1070,1673,2345
107,4193,5090,598,2971,3029,3567,3746,3939,4272,4868,5974,6978,7347,1043,2568,2794,3258,3888,4300,5942
108,130,181,248,376,437,442,679,739,772,1292,1473,1532,1594,1842,1943,1956,2133,2290,2728,2742
109,359,1787,2198,22,2755,3339,3941,5407,7208,7554,1292,6894,2899,4108,1490,1393,581,1117,3257,3345
110,4718,7760,6642,7491,224,598,1483,1977,5384,6033,6674,7347,2891,4272,3924,900,904,1207,1588,1594
111,1751,2150,2213,2305,2940,2945,3866,4621,4732,5801,7402,7761,5844,1007,3389,7146,654,4948,5704,6333
112,813,876,1019,1281,1566,2052,2065,2730,3572,5175,6911,897,3533,6777,6943,174,374,497,598,624
113,436,437,2652,3453,3939,3956,5333,6637,7549,3754,5849,1389,3698,1177,2195,6294,6307,6745,1235,2301
114,7493,6597,7274,317,410,1423,3567,3893,4980,5473,5942,6168,6589,5606,3745,2011,2762,3533,2317,3315
115,130,299,772,1117,1319,1465,1532,1831,2130,2511,2752,2798,3062,3209,3869,4024,4150,4300,4824,6080
116,5174,1335,1374,7222,1842,2290,2357,2995,3047,3177,6074,100,2712,2740,2794,3406,3888,7193,29,265
117,104,195,216,219,243,252,306,341,741,742,884,1330,1357,2382,2590,2742,3124,3833,3837,3866
118,57,134,321,410,647,882,950,1628,2031,2170,2238,2572,2815,3344,3600,3841,4218,4724,4809,5141
119,518,561,924,1082,1100,1727,1758,1802,2427,3473,3988,4782,4935,5240,5312,5560,6168,6203,6313,6511
120,1727,1963,2769,2801,3532,4156,5883,6348,7269,7569,7654,42,270,292,611,747,796,1004,1101,1194
121,1385,5450,5955,393,2290,5500,6930,7108,934,2507,2798,3193,5970,1087,3124,3836,3905,4387,4539,6209
122,22,27,263,289,292,944,1671,2345,2364,2921,3105,3314,3339,3373,3474,4147,4389,4399,4637,4817
123,1477,6008,7156,7593,187,1194,1289,1910,3633,4915,4999,7742,862,1008,2136,3075,4547,5090,5186,6014
124,42,237,354,406,631,894,1007,1087,1207,1251,1613,2035,2047,2345,2443,2789,3018,3261,3289,3517
125,323,811,1194,1196,1483,1571,1847,1962,1966,2059,3291,3567,3746,5753,6078,6794,7070,7483,7736,130
126,341,436,3098,5437,5869,6231,6282,6291,6325,6808,7207,7692,34,163,252,286,565,631,708,742
127,367,2448,3552,2673,631,2248,2333,2393,3494,3496,4950,5743,2361,3505,7449,7692,2109,3470,3717,4288
128,71,243,289,611,739,747,935,1651,1837,1940,1956,2741,3314,3339,3465,3837,3976,4153,4345,4446
129,37,494,870,2581,2969,3374,6170,7347,7423,7760,5255,5996,7240,900,1388,1588,1858,2081,2231,3331
130,1852,3275,4782,5889,437,243,517,729,849,927,1025,1209,1251,1357,1725,1943,1956,1989,2011,2197
131,1989,2448,5466,1043,3979,6352,526,554,829,830,1458,1596,2221,2457,3201,3846,3976,4925,5001,5249
132,51,572,2960,3822,4636,4945,5911,69,123,544,1683,2026,2095,3263,3733,4652,5113,6029,6171,7025
133,39,1007,1153,1401,1989,2822,2847,3111,3439,4245,4355,4391,4626,5082,5288,5312,5410,5423,5704,6138
134,85,42,243,304,519,598,665,670,817,925,935,1150,1217,1388,1532,2225,2361,2433,2447,2622
135,45,1188,4031,5124,6466,7379,573,1297,1562,4399,4572,4761,5165,5464,5466,5898,7520,7676,4470,238
136,99,280,565,631,1211,1401,1673,1727,1891,1963,2378,2883,3056,3080,3389,3473,3494,3743,3885,3905
137,1186,2750,3829,4823,5014,5088,6219,6902,1735,4053,1352,3454,4361,5326,5880,312,608,1039,1314,1919
138,153,192,1251,1287,2665,3737,3879,5216,5869,6593,6974,186,876,1004,1046,1172,1466,2017,2385,3974
139,5494,1775,34,53,163,243,292,339,354,436,598,611,635,658,700,740,747,866,875,894
140,6850,817,2045,3104,2047,2923,3289,6110,6251,6562,6826,7082,431,434,445,554,772,1465,1678,1958
141,6159,6160,7381,801,3205,5654,1152,1513,1322,2572,2890,3043,3183,3939,5121,5876,7004,7549,7757,791
142,1209,1739,2786,134,5201,5576,6558,1126,1910,3694,4206,7611,516,1333,1362,2794,3331,3746,5594,5974
143,216,243,747,1127,1207,1357,1388,1940,2011,2729,2762,3275,3331,3533,4436,5478,5974,6057,6285,6353
144,1157,1213,1954,2432,2441,3041,3201,3389,3743,3758,4025,4156,4539,4856,5218,5312,5513,5885,6355,6600
145,6768,5450,5955,95,6022,5478,1383,4053,4300,282,2443,1965,5970,237,570,2593,3464,3497,4922,5084
146,130,380,1600,3273,4183,5801,282,297,554,830,874,1127,2127,2609,2736,2995,3110,3244,3873,4288
147,874,772,4840,4868,6204,6857,7069,220,388,7021,1465,1528,1850,2442,3094,3745,5304,5734,6306,6841
148,4999,314,355,466,753,903,925,1601,1673,1783,1900,2515,2542,2628,2864,3120,3473,3524,3909,4338
149,2401,3496,4382,5244,5662,7279,554,1009,1043,1262,1437,3184,3746,4915,6761,7157,7193,7344,7441,12
150,80,260,299,312,321,367,611,649,691,1208,1454,1570,1628,2214,2238,2519,2641,2654,2655,3076
151,5463,6727,7197,2230,3418,1383,260,282,1788,3442,6794,40,243,341,437,591,747,812,1117,1155
152,181,1500,2740,7193,7684,1014,2519,4289,6528,6841,2393,3496,4437,4950,1316,3329,4734,6813,282,779
153,243,570,741,1019,1211,1327,1388,1672,1727,1759,1935,1976,1977,2202,2225,2427,2536,2933,3300,3331
154,811,1043,1300,1643,1673,1675,1727,2313,2345,2443,2740,2815,3001,3161,3201,3263,3462,3567,3905,3975
155,2427,683,1447,2808,4365,5113,5862,7743,757,762,2284,2572,3012,3161,4300,4386,1194,1454,1557,5384
156,673,811,983,1194,1594,3315,3698,3975,4300,4843,4921,5087,5258,5315,5473,5534,6600,6769,6941,7193
157,2808,1594,7493,2150,2940,7402,5301,1615,6350,7198,851,1858,2081,2665,6422,6832,7273,7577,3938,4824
158,130,396,673,800,897,2138,2200,2572,2731,2972,3110,3311,3552,3712,3718,4111,4270,4300,4715,4729
159,42,117,130,252,279,299,367,520,524,585,591,604,629,631,646,696,740,757,793,818
160,6285,7687,22,27,1347,1383,1576,1766,2850,3373,3756,3765,4387,4399,4835,4897,6910,7355,7415,1594
161,767,3715,6918,104,2507,742,2382,3743,3939,4361,4744,5281,5303,5603,6168,7541,7698,4107,1721,6748
162,748,1768,2721,2728,3043,3263,5970,6040,6597,6646,7433,7642,320,511,1847,3878,4107,4468,6285,1746
163,4911,554,2457,2953,3766,5662,5801,5944,6420,7344,7603,1805,3480,716,1673,2117,2122,2469,2789,3099
164,3391,4544,5000,2940,5654,7609,2238,4742,5866,2708,3205,5859,5946,2225,1041,3939,4701,7138,3389,4043
165,4294,7395,7536,925,2671,4350,1640,2097,5287,5530,629,6199,5309,6413,7680,6231,3071,4490,4782,5142
166,1594,2940,7402,7493,2930,4868,6541,1758,4225,4937,6086,53,163,243,292,361,373,436,512,611
167,135,237,334,403,520,570,674,811,1155,1335,1368,1455,1467,1478,1652,1799,1816,2078,2478,2481
168,866,1451,1648,1963,1976,2896,4338,4544,5378,5704,7750,3536,95,1067,6502,314,562,2035,2585,3193
169,894,4803,1383,2409,2572,3219,4373,4664,4950,5450,5823,6748,7279,7396,7474,7477,123,1766,3263,3936
170,1665,6951,3618,1842,3529,3718,4325,88,1390,6195,1107,1228,1589,2200,2731,2807,2821,2919,3079,3712
171,3880,4231,5664,1369,1359,4173,6335,2059,2652,4272,6285,6813,2006,4707,4808,5969,1673,3047,672,1179
172,741,747,2600,2891,3176,3342,3939,4539,4935,5709,5722,6813,6864,219,372,411,447,1251,1736,1912
173,7721,243,632,950,1157,1194,2519,2808,3216,3510,3805,5580,5801,7002,7193,913,1347,1965,2439,2658
174,6603,1415,3386,1699,2378,2452,2719,2794,2848,2883,3905,4038,4387,4925,4948,5402,5942,5946,6252,6866
175,391,582,604,621,796,1329,1636,2292,2452,3100,3470,3474,3774,4475,4615,4698,5599,6810,7033,7342
176,1651,3893,6122,9,94,286,392,565,631,650,1007,1039,1087,1401,1673,1943,1976,1989,2209,2305
177,644,811,1207,1340,1480,1699,1785,2457,2461,2609,3497,3567,3805,4045,4231,4289,4382,4707,4773,4843
178,3193,367,2056,591,696,845,2929,3462,4824,5262,5298,7069,631,6793,570,829,920,957,1383,1718
179,289,406,565,631,878,1009,1468,1581,1785,1976,2006,2317,2755,3003,3161,3314,3532,3688,3977,4707
180,6230,163,276,3184,5175,5498,6617,196,252,287,306,354,589,665,843,886,1272,1802,2305,2427
181,5450,5955,177,2564,3609,5309,6413,7515,7680,7588,130,299,1477,1532,2794,4931,5162,5262,7156,7262
182,143,1373,3530,4272,4694,6307,6335,6589,7221,75,410,552,738,851,1009,1973,2106,2303,2531,3698
183,5212,117,315,376,1127,1273,2317,2755,4161,4539,5150,5398,5594,5677,6080,6988,7376,7529,966,6074
184,282,2518,3517,4170,6587,7279,1208,1557,2111,2195,3980,4346,5038,5048,6294,6745,179,631,848,921
185,4265,458,6008,2040,1940,1941,3723,3948,4345,4446,6637,7376,811,2652,3693,4387,6285,3315,7444,3746
186,130,1217,1357,1594,2078,2133,2923,2940,3939,4111,5335,6057,6251,6260,6350,6370,6659,6826,7082,7106
187,54,82,282,499,581,762,772,874,1286,1477,1831,2461,2518,2736,2740,3216,3517,3862,4170,4737
188,3664,4285,5611,6329,6369,6389,7124,7157,4244,71,243,257,436,453,611,635,679,753,759,811
189,2361,4086,6241,6313,6627,7449,7450,554,1043,2393,3474,3590,3784,3862,4061,6600,6954,7060,7344,5388
190,2712,4861,1387,2110,4272,5355,5473,6456,1588,552,793,900,1025,1513,1858,2059,2106,2284,2531,2739
191,607,1900,2536,4153,5628,5896,7318,421,1194,1571,3805,4272,6841,7193,372,435,1003,1022,1073,1483
192,2313,5650,7417,2427,3679,95,562,1067,3193,6502,7593,7674,7716,7742,3197,5625,6115,6813,6098,6608
193,1248,4382,4797,4802,4811,1292,7352,2518,3517,4170,6587,6930,7389,2658,4106,5057,5838,461,520,644
194,2015,3209,4624,7667,829,830,3002,3784,4450,5177,7424,4389,95,1067,6502,3414,3499,4231,5663,5664
195,1007,1347,5473,6285,7716,7736,1866,739,1333,1965,2133,5142,6370,7535,7609,2572,6769,7193,7603,7684
196,562,647,780,1067,1383,2942,3193,3524,3694,3849,7249,7674,2673,5270,2427,7588,341,817,849,884
197,364,670,689,729,1142,2432,2441,2570,3517,4683,5622,5450,5955,884,2382,2477,361,589,608,2864
198,674,2590,2642,5450,5955,7001,2015,3209,4624,7667,177,2564,5309,6413,7515,7680,4746,2150,2940,7402
199,278,473,598,803,837,884,900,966,1043,1273,1395,1483,1580,1594,1646,1858,2078,2571,2622,2794
200,686,3590,4592,7344,248,7108,220,388,902,1070,2100,3120,3156,5685,5737,7107,891,1853,5138,556
201,1594,7493,5853,6301,1152,1920,2168,2842,3171,4717,6026,757,3591,4357,2452,5178,6634,7342,2219,4551
202,27,42,120,243,270,292,367,437,521,604,611,638,668,747,756,894,935,1004,1101,1157
203,2135,2396,4655,1956,3977,4389,4490,5016,2450,3264,4572,6295,7520,2202,2768,5184,1308,1482,200,1793
204,1477,2796,3915,4737,5162,7625,299,1393,1822,3076,3321,4199,5270,6353,6452,1157,2100,6651,7342,312
205,1385,1739,1775,3427,3686,3906,4008,5239,5550,6288,6912,6915,7206,900,1588,4188,6382,6462,2138,5087
206,2138,5087,2609,3983,2608,3183,5844,6279,2059,2891,3176,4539,5722,6813,2906,3581,778,890,1150,2384
207,1548,650,817,1080,2186,3605,4144,521,570,1329,1454,1675,3497,4231,4525,4922,42,2680,3420,5440
208,811,2393,3029,3693,4288,6587,7273,554,1473,6204,6371,4985,5103,950,1248,2808,3746,4170,5450,6930
209,1456,2317,3315,3975,1768,2794,1672,2427,4538,6515,2457,6841,3693,2933,3939,4272,6589,4022,135,604
210,216,43,436,2047,2721,3356,4137,4827,4860,5598,6419,7079,7208,7356,324,981,1025,1343,1986,2273
211,3687,5000,570,830,1454,3001,3029,3184,6496,7342,3462,3497,3975,4925,7107,7424,5440,7271,4357,1596
212,5955,1221,1347,4773,7368,7720,289,742,913,1566,2109,2117,2220,3001,3269,3517,4038,5328,5664,6496
213,5450,5955,177,5309,6413,7680,3609,924,4337,7203,1422,1583,1747,1874,1972,2945,4621,4732,5369,6570
214,442,5122,289,518,611,1758,1900,3331,3567,3605,3939,5534,5654,5946,6350,6627,7106,1331,1459,1594
215,2194,2274,3847,5625,6759,119,772,1389,3718,4272,4868,6091,6831,7069,7239,7682,1002,1513,1940,4304
216,134,181,372,783,1014,1194,1316,1383,2127,2133,2461,2519,2736,3029,3216,3510,3567,3841,4803,4930
217,3746,3747,591,696,3252,1138,3528,5534,595,2355,5122,410,950,7654,5313,4868,275,2518,2640,2658
218,5988,5262,83,3478,4651,7115,1146,248,595,874,2078,2200,2355,2758,2995,3047,3718,3869,4454,4482
219,2191,2995,3461,3698,5735,7047,248,1483,2200,2798,3062,4482,5426,6080,679,2794,3746,3888,4566,4776
220,381,839,1194,3642,4921,5315,7194,7244,7684,829,3474,4231,5664,7396,631,1463,2654,3422,4898,5320
221,2752,3043,504,640,1149,1683,2096,2127,2130,3110,5150,5772,6135,6925,6954,7049,7417,7573,6113,1331
222,1868,5262,6352,7461,1009,4845,410,461,644,679,1557,1686,2568,2944,3029,3766,3939,4022,4107,4463
223,2821,591,696,339,516,598,900,935,1004,1483,2059,2079,2133,2593,2903,2971,3123,3389,3406,3616
224,3572,4364,5519,6885,7318,134,519,526,1014,1043,1751,2401,2452,2518,2590,2609,2794,3099,3114,3161
225,421,625,1897,2519,3029,3454,3746,3836,3841,3888,4230,4672,5237,5473,5662,6769,7078,7197,7271,7290
226,7207,5190,6248,532,900,904,1388,2230,2969,2106,3846,5345,7034,319,1138,1319,1859,6603,7726,2808
227,3216,5623,7635,248,352,554,736,762,783,874,1043,1127,1596,2026,2290,2736,2758,3177,3431,4272
228,243,260,282,811,1043,1194,1248,1345,1628,1699,1909,2035,2195,2479,2620,2808,2862,3012,3315,3688
229,174,292,1430,1718,2125,3043,5446,6079,7356,130,396,3311,4111,4270,4715,4729,6950,3988,4550,1369
230,6748,6785,2958,9,38,174,341,562,589,917,1046,1075,1117,1142,1347,1385,1693,1758,1951,1989
231,181,1500,1501,2002,2740,3805,4437,6528,6613,7193,7684,379,783,1518,2746,3873,5540,6409,1269,1405
232,2794,2427,3951,4245,4831,6870,7146,2762,5235,5388,1483,281,315,793,811,1043,1337,2290,2608,2740
233,83,304,435,966,1146,1528,2930,3468,3478,3534,4651,4868,5028,6541,6824,7021,7115,7148,4249,5274
234,2572,4587,4723,5162,6889,7221,375,4737,5158,7625,1290,4280,183,292,299,621,796,950,1333,1557
235,1847,2967,7049,927,1002,1562,1596,2135,2297,2714,2768,2886,3500,5426,6469,6687,7044,7101,7340,7438
236,117,237,341,611,1329,1330,1357,1456,1503,1725,1739,2570,2628,3099,3746,4856,4915,5009,5012,5436
